Date,Province/State,Country,Confirmed,Deaths,Recovered,dayCount
01/23/2020,,Brazil,0.0,0.0,0.0,0
02/26/2020,,Brazil,1.0,0.0,0.0,1
02/27/2020,,Brazil,1.0,0.0,0.0,2
02/28/2020,,Brazil,1.0,0.0,0.0,3
02/29/2020,,Brazil,2.0,0.0,0.0,4
03/01/2020,,Brazil,2.0,0.0,0.0,5
03/02/2020,,Brazil,2.0,0.0,0.0,6
03/03/2020,,Brazil,2.0,0.0,0.0,7
03/04/2020,,Brazil,4.0,0.0,0.0,8
03/05/2020,,Brazil,4.0,0.0,0.0,9
03/06/2020,,Brazil,13.0,0.0,0.0,10
03/07/2020,,Brazil,13.0,0.0,0.0,11
03/08/2020,,Brazil,20.0,0.0,0.0,12
03/09/2020,,Brazil,25.0,0.0,0.0,13
03/10/2020,,Brazil,31.0,0.0,0.0,14
03/11/2020,,Brazil,38.0,0.0,0.0,15
03/12/2020,,Brazil,52.0,0.0,0.0,16
03/13/2020,,Brazil,151.0,0.0,0.0,17
03/14/2020,,Brazil,151.0,0.0,0.0,18
03/15/2020,,Brazil,162.0,0.0,0.0,19
03/16/2020,,Brazil,200.0,0.0,1.0,20
03/17/2020,,Brazil,321.0,1.0,2.0,21
03/18/2020,,Brazil,372.0,3.0,2.0,22
03/19/2020,,Brazil,621.0,6.0,2.0,23
03/20/2020,,Brazil,793.0,11.0,2.0,24
03/21/2020,,Brazil,1021.0,15.0,2.0,25
03/22/2020,,Brazil,1593.0,25.0,2.0,26
03/23/2020,,Brazil,1924.0,34.0,2.0,27
