Date,Province/State,Country,Confirmed,Deaths,Recovered,dayCount
01/28/2020,Bavaria,Germany,4.0,0.0,0.0,0
01/29/2020,Bavaria,Germany,4.0,0.0,0.0,1
01/30/2020,Bavaria,Germany,4.0,0.0,0.0,2
01/31/2020,Bavaria,Germany,5.0,0.0,0.0,3
02/01/2020,,Germany,8.0,0.0,0.0,4
02/02/2020,,Germany,10.0,0.0,0.0,5
02/03/2020,,Germany,12.0,0.0,0.0,6
02/04/2020,,Germany,12.0,0.0,0.0,7
02/05/2020,,Germany,12.0,0.0,0.0,8
02/06/2020,,Germany,12.0,0.0,0.0,9
02/07/2020,,Germany,13.0,0.0,0.0,10
02/08/2020,,Germany,13.0,0.0,0.0,11
02/09/2020,,Germany,14.0,0.0,0.0,12
02/10/2020,,Germany,14.0,0.0,0.0,13
02/11/2020,,Germany,16.0,0.0,0.0,14
02/12/2020,,Germany,16.0,0.0,0.0,15
02/13/2020,,Germany,16.0,0.0,1.0,16
02/14/2020,,Germany,16.0,0.0,1.0,17
02/15/2020,,Germany,16.0,0.0,1.0,18
02/16/2020,,Germany,16.0,0.0,1.0,19
02/17/2020,,Germany,16.0,0.0,1.0,20
02/18/2020,,Germany,16.0,0.0,12.0,21
02/19/2020,,Germany,16.0,0.0,12.0,22
02/20/2020,,Germany,16.0,0.0,12.0,23
02/21/2020,,Germany,16.0,0.0,14.0,24
02/22/2020,,Germany,16.0,0.0,14.0,25
02/23/2020,,Germany,16.0,0.0,14.0,26
02/24/2020,,Germany,16.0,0.0,14.0,27
02/25/2020,,Germany,17.0,0.0,14.0,28
02/26/2020,,Germany,27.0,0.0,15.0,29
02/27/2020,,Germany,46.0,0.0,16.0,30
02/28/2020,,Germany,48.0,0.0,16.0,31
02/29/2020,,Germany,79.0,0.0,16.0,32
03/01/2020,,Germany,130.0,0.0,16.0,33
03/02/2020,,Germany,159.0,0.0,16.0,34
03/03/2020,,Germany,196.0,0.0,16.0,35
03/04/2020,,Germany,262.0,0.0,16.0,36
03/05/2020,,Germany,482.0,0.0,16.0,37
03/06/2020,,Germany,670.0,0.0,17.0,38
03/07/2020,,Germany,799.0,0.0,18.0,39
03/08/2020,,Germany,1040.0,0.0,18.0,40
03/09/2020,,Germany,1176.0,2.0,18.0,41
03/10/2020,,Germany,1457.0,2.0,18.0,42
03/11/2020,,Germany,1908.0,3.0,25.0,43
03/12/2020,,Germany,2078.0,3.0,25.0,44
03/13/2020,,Germany,3675.0,7.0,46.0,45
03/14/2020,,Germany,4585.0,9.0,46.0,46
03/15/2020,,Germany,5795.0,11.0,46.0,47
03/16/2020,,Germany,7272.0,17.0,67.0,48
03/17/2020,,Germany,9257.0,24.0,67.0,49
03/18/2020,,Germany,12327.0,28.0,105.0,50
03/19/2020,,Germany,15320.0,44.0,113.0,51
03/20/2020,,Germany,19848.0,67.0,180.0,52
03/21/2020,,Germany,22213.0,84.0,233.0,53
03/22/2020,,Germany,24873.0,94.0,266.0,54
03/23/2020,,Germany,29056.0,123.0,453.0,55
