Date,Province/State,Country,Confirmed,Deaths,Recovered,dayCount
01/31/2020,,Italy,2.0,0.0,0.0,0
02/01/2020,,Italy,2.0,0.0,0.0,1
02/02/2020,,Italy,2.0,0.0,0.0,2
02/03/2020,,Italy,2.0,0.0,0.0,3
02/04/2020,,Italy,2.0,0.0,0.0,4
02/05/2020,,Italy,2.0,0.0,0.0,5
02/06/2020,,Italy,2.0,0.0,0.0,6
02/07/2020,,Italy,3.0,0.0,0.0,7
02/08/2020,,Italy,3.0,0.0,0.0,8
02/09/2020,,Italy,3.0,0.0,0.0,9
02/10/2020,,Italy,3.0,0.0,0.0,10
02/11/2020,,Italy,3.0,0.0,0.0,11
02/12/2020,,Italy,3.0,0.0,0.0,12
02/13/2020,,Italy,3.0,0.0,0.0,13
02/14/2020,,Italy,3.0,0.0,0.0,14
02/15/2020,,Italy,3.0,0.0,0.0,15
02/16/2020,,Italy,3.0,0.0,0.0,16
02/17/2020,,Italy,3.0,0.0,0.0,17
02/18/2020,,Italy,3.0,0.0,0.0,18
02/19/2020,,Italy,3.0,0.0,0.0,19
02/20/2020,,Italy,3.0,0.0,0.0,20
02/21/2020,,Italy,20.0,1.0,0.0,21
02/22/2020,,Italy,62.0,2.0,1.0,22
02/23/2020,,Italy,155.0,3.0,2.0,23
02/24/2020,,Italy,229.0,7.0,1.0,24
02/25/2020,,Italy,322.0,10.0,1.0,25
02/26/2020,,Italy,453.0,12.0,3.0,26
02/27/2020,,Italy,655.0,17.0,45.0,27
02/28/2020,,Italy,888.0,21.0,46.0,28
02/29/2020,,Italy,1128.0,29.0,46.0,29
03/01/2020,,Italy,1694.0,34.0,83.0,30
03/02/2020,,Italy,2036.0,52.0,149.0,31
03/03/2020,,Italy,2502.0,79.0,160.0,32
03/04/2020,,Italy,3089.0,107.0,276.0,33
03/05/2020,,Italy,3858.0,148.0,414.0,34
03/06/2020,,Italy,4636.0,197.0,523.0,35
03/07/2020,,Italy,5883.0,233.0,589.0,36
03/08/2020,,Italy,7375.0,366.0,622.0,37
03/09/2020,,Italy,9172.0,463.0,724.0,38
03/10/2020,,Italy,10149.0,631.0,724.0,39
03/11/2020,,Italy,12462.0,827.0,1045.0,40
03/12/2020,,Italy,12462.0,827.0,1045.0,41
03/13/2020,,Italy,17660.0,1266.0,1439.0,42
03/14/2020,,Italy,21157.0,1441.0,1966.0,43
03/15/2020,,Italy,24747.0,1809.0,2335.0,44
03/16/2020,,Italy,27980.0,2158.0,2749.0,45
03/17/2020,,Italy,31506.0,2503.0,2941.0,46
03/18/2020,,Italy,35713.0,2978.0,4025.0,47
03/19/2020,,Italy,41035.0,3405.0,4440.0,48
03/20/2020,,Italy,47021.0,4032.0,4440.0,49
03/21/2020,,Italy,53578.0,4825.0,6072.0,50
03/22/2020,,Italy,59138.0,5476.0,7024.0,51
03/23/2020,,Italy,63927.0,6077.0,7432.0,52
