Date,Province/State,Country,Confirmed,Deaths,Recovered,dayCount
02/01/2020,,Spain,1.0,0.0,0.0,0
02/02/2020,,Spain,1.0,0.0,0.0,1
02/03/2020,,Spain,1.0,0.0,0.0,2
02/04/2020,,Spain,1.0,0.0,0.0,3
02/05/2020,,Spain,1.0,0.0,0.0,4
02/06/2020,,Spain,1.0,0.0,0.0,5
02/07/2020,,Spain,1.0,0.0,0.0,6
02/08/2020,,Spain,1.0,0.0,0.0,7
02/09/2020,,Spain,2.0,0.0,0.0,8
02/10/2020,,Spain,2.0,0.0,0.0,9
02/11/2020,,Spain,2.0,0.0,0.0,10
02/12/2020,,Spain,2.0,0.0,0.0,11
02/13/2020,,Spain,2.0,0.0,0.0,12
02/14/2020,,Spain,2.0,0.0,0.0,13
02/15/2020,,Spain,2.0,0.0,2.0,14
02/16/2020,,Spain,2.0,0.0,2.0,15
02/17/2020,,Spain,2.0,0.0,2.0,16
02/18/2020,,Spain,2.0,0.0,2.0,17
02/19/2020,,Spain,2.0,0.0,2.0,18
02/20/2020,,Spain,2.0,0.0,2.0,19
02/21/2020,,Spain,2.0,0.0,2.0,20
02/22/2020,,Spain,2.0,0.0,2.0,21
02/23/2020,,Spain,2.0,0.0,2.0,22
02/24/2020,,Spain,2.0,0.0,2.0,23
02/25/2020,,Spain,6.0,0.0,2.0,24
02/26/2020,,Spain,13.0,0.0,2.0,25
02/27/2020,,Spain,15.0,0.0,2.0,26
02/28/2020,,Spain,32.0,0.0,2.0,27
02/29/2020,,Spain,45.0,0.0,2.0,28
03/01/2020,,Spain,84.0,0.0,2.0,29
03/02/2020,,Spain,120.0,0.0,2.0,30
03/03/2020,,Spain,165.0,1.0,2.0,31
03/04/2020,,Spain,222.0,2.0,2.0,32
03/05/2020,,Spain,259.0,3.0,2.0,33
03/06/2020,,Spain,400.0,5.0,2.0,34
03/07/2020,,Spain,500.0,10.0,30.0,35
03/08/2020,,Spain,673.0,17.0,30.0,36
03/09/2020,,Spain,1073.0,28.0,32.0,37
03/10/2020,,Spain,1695.0,35.0,32.0,38
03/11/2020,,Spain,2277.0,54.0,183.0,39
03/12/2020,,Spain,2277.0,55.0,183.0,40
03/13/2020,,Spain,5232.0,133.0,193.0,41
03/14/2020,,Spain,6391.0,195.0,517.0,42
03/15/2020,,Spain,7798.0,289.0,517.0,43
03/16/2020,,Spain,9942.0,342.0,530.0,44
03/17/2020,,Spain,11748.0,533.0,1028.0,45
03/18/2020,,Spain,13910.0,623.0,1081.0,46
03/19/2020,,Spain,17963.0,830.0,1107.0,47
03/20/2020,,Spain,20410.0,1043.0,1588.0,48
03/21/2020,,Spain,25374.0,1375.0,2125.0,49
03/22/2020,,Spain,28768.0,1772.0,2575.0,50
03/23/2020,,Spain,35136.0,2311.0,3355.0,51
