,dayCount,Country,Confirmed
0,0,Brazil,0.0
1,0,France,2.0
2,0,Germany,4.0
3,0,Iran,2.0
4,0,Italy,2.0
5,0,Mainland China,547.0
6,0,Spain,1.0
7,0,US,1.0
8,1,Brazil,1.0
9,1,France,3.0
10,1,Germany,4.0
11,1,Iran,5.0
12,1,Italy,2.0
13,1,Mainland China,639.0
14,1,Spain,1.0
15,1,US,1.0
16,2,Brazil,1.0
17,2,France,3.0
18,2,Germany,4.0
19,2,Iran,18.0
20,2,Italy,2.0
21,2,Mainland China,916.0
22,2,Spain,1.0
23,2,US,2.0
24,3,Brazil,1.0
25,3,France,3.0
26,3,Germany,5.0
27,3,Iran,28.0
28,3,Italy,2.0
29,3,Mainland China,1399.0
30,3,Spain,1.0
31,3,US,2.0
32,4,Brazil,2.0
33,4,France,4.0
34,4,Germany,8.0
35,4,Iran,43.0
36,4,Italy,2.0
37,4,Mainland China,2062.0
38,4,Spain,1.0
39,4,US,5.0
40,5,Brazil,2.0
41,5,France,5.0
42,5,Germany,10.0
43,5,Iran,61.0
44,5,Italy,2.0
45,5,Mainland China,2863.0
46,5,Spain,1.0
47,5,US,5.0
48,6,Brazil,2.0
49,6,France,5.0
50,6,Germany,12.0
51,6,Iran,95.0
52,6,Italy,2.0
53,6,Mainland China,5494.0
54,6,Spain,1.0
55,6,US,5.0
56,7,Brazil,2.0
57,7,France,5.0
58,7,Germany,12.0
59,7,Iran,139.0
60,7,Italy,3.0
61,7,Mainland China,6070.0
62,7,Spain,1.0
63,7,US,5.0
64,8,Brazil,4.0
65,8,France,6.0
66,8,Germany,12.0
67,8,Iran,245.0
68,8,Italy,3.0
69,8,Mainland China,8124.0
70,8,Spain,2.0
71,8,US,5.0
72,9,Brazil,4.0
73,9,France,6.0
74,9,Germany,12.0
75,9,Iran,388.0
76,9,Italy,3.0
77,9,Mainland China,9783.0
78,9,Spain,2.0
79,9,US,6.0
80,10,Brazil,13.0
81,10,France,6.0
82,10,Germany,13.0
83,10,Iran,593.0
84,10,Italy,3.0
85,10,Mainland China,11871.0
86,10,Spain,2.0
87,10,US,8.0
88,11,Brazil,13.0
89,11,France,6.0
90,11,Germany,13.0
91,11,Iran,978.0
92,11,Italy,3.0
93,11,Mainland China,16607.0
94,11,Spain,2.0
95,11,US,8.0
96,12,Brazil,20.0
97,12,France,6.0
98,12,Germany,14.0
99,12,Iran,1501.0
100,12,Italy,3.0
101,12,Mainland China,19693.0
102,12,Spain,2.0
103,12,US,11.0
104,13,Brazil,25.0
105,13,France,6.0
106,13,Germany,14.0
107,13,Iran,2336.0
108,13,Italy,3.0
109,13,Mainland China,23680.0
110,13,Spain,2.0
111,13,US,11.0
112,14,Brazil,31.0
113,14,France,6.0
114,14,Germany,16.0
115,14,Iran,2922.0
116,14,Italy,3.0
117,14,Mainland China,27409.0
118,14,Spain,2.0
119,14,US,12.0
120,15,Brazil,38.0
121,15,France,11.0
122,15,Germany,16.0
123,15,Iran,3513.0
